YEAR,MEN_WINNER,MEN_COUNTRY,MEN_TIME,WOMEN_WINNER,WOMEN_COUNTRY,WOMEN_TIME
1974,Günter Hallas,West Germany,2:44:53,Jutta von Haase,West Germany,3:22:01
1975,Ralf Bochröder,West Germany,2:47:08,Kristin Bochröder,West Germany,2:59:15
1976,Ingo Sensburg,West Germany,2:23:08,Jutta von Haase,West Germany,3:05:19
1977,Günter Mielke,West Germany,2:15:19,Christa Vahlensieck,West Germany,2:34:48
1978,Michael Spöttel,West Germany,2:20:03,Ursula Blaschke,West Germany,2:57:09
1979,Ingo Sensburg,West Germany,2:21:09,Jutta von Haase,West Germany,3:07:07
1980,Ingo Sensburg,West Germany,2:16:48,Gerlinde Püttmann,West Germany,2:47:18
1981,Ian Ray,United Kingdom,2:15:42,Angelika Stephan,West Germany,2:47:24
1982,Domingo Tibaduiza,Colombia,2:14:47,Jean Lochhead,United Kingdom,2:47:05
1983,Karel Lismont,Belgium,2:13:37,Karen Holdsworth,United Kingdom,2:40:32
1984,John Skovbjerg,Denmark,2:13:35,Ágnes Sipka,Hungary,2:39:32
1985,Jimmy Ashworth,United Kingdom,2:11:43,Magda Ilands,Belgium,2:34:10
1986,Bogusław Psujek,Poland,2:11:03,Charlotte Teske,West Germany,2:32:10
1987,Suleiman Nyambui,Tanzania,2:11:11,Kerstin Preßler,West Germany,2:31:22
1988,Suleiman Nyambui,Tanzania,2:11:45,Renata Kokowska,Poland,2:29:16
1989,Alfredo Shahanga,Tanzania,2:10:11,Päivi Tikkanen,Finland,2:28:45
1990,Steve Moneghetti,Australia,2:08:16,Uta Pippig,East Germany,2:28:37
1991,Steve Brace,United Kingdom,2:10:57,Renata Kokowska,Poland,2:27:36
1992,David Tsebe,South Africa,2:08:07,Uta Pippig,Germany,2:30:22
1993,Xolile Yawa,South Africa,2:10:57,Renata Kokowska,Poland,2:26:20
1994,António Pinto,Portugal,2:08:31,Katrin Dörre-Heinig,Germany,2:25:15
1995,Sammy Lelei,Kenya,2:07:02,Uta Pippig,Germany,2:25:37
1996,Abel Antón,Spain,2:09:15,Colleen De Reuck,South Africa,2:26:35
1997,Elijah Lagat,Kenya,2:07:41,Catherina McKiernan,Ireland,2:23:44
1998,Ronaldo da Costa,Brazil,2:06:05,Marleen Renders,Belgium,2:25:22
1999,Josephat Kiprono,Kenya,2:06:44,Tegla Loroupe,Kenya,2:20:43
2000,Simon Biwott,Kenya,2:07:42,Kazumi Matsuo,Japan,2:26:15
2001,Joseph Ngolepus,Kenya,2:08:47,Naoko Takahashi,Japan,2:19:46
2002,Raymond Kipkoech,Kenya,2:06:47,Naoko Takahashi,Japan,2:21:49
2003,Paul Tergat,Kenya,2:04:55,Yasuko Hashimoto,Japan,2:26:32
2004,Felix Limo,Kenya,2:06:44,Yoko Shibui,Japan,2:19:41
2005,Philip Manyim,Kenya,2:07:41,Mizuki Noguchi,Japan,2:19:12
2006,Haile Gebrselassie,Ethiopia,2:05:56,Gete Wami,Ethiopia,2:21:34
2007,Haile Gebrselassie,Ethiopia,2:04:26,Gete Wami,Ethiopia,2:23:17
2008,Haile Gebrselassie,Ethiopia,2:03:59,Irina Mikitenko,Germany,2:19:19
2009,Haile Gebrselassie,Ethiopia,2:06:08,Atsede Habtamu,Ethiopia,2:24:47
2010,Patrick Musyoki,Kenya,2:05:08,Aberu Kebede,Ethiopia,2:23:58
2011,Patrick Musyoki,Kenya,2:03:38,Florence Kiplagat,Kenya,2:19:44
2012,Geoffrey Mutai,Kenya,2:04:15,Aberu Kebede,Ethiopia,2:20:30
2013,Wilson Kipsang,Kenya,2:03:23,Florence Kiplagat,Kenya,2:21:13
2014,Dennis Kimetto,Kenya,2:02:57,Tirfi Tsegaye,Ethiopia,2:20:18
2015,Eliud Kipchoge,Kenya,2:04:00,Gladys Cherono,Kenya,2:19:25
2016,Kenenisa Bekele,Ethiopia,2:03:03,Aberu Kebede,Ethiopia,2:20:45
2017,Eliud Kipchoge,Kenya,2:03:32,Gladys Cherono,Kenya,2:20:23
2018,Eliud Kipchoge,Kenya,2:01:39,Gladys Cherono,Kenya,2:18:11
2019,Kenenisa Bekele,Ethiopia,2:01:41,Ashete Bekere,Ethiopia,2:20:14
2021,Guye Adola,Ethiopia,2:05:45,Gotytom Gebreslase,Ethiopia,2:20:09
2022,Eliud Kipchoge,Kenya,2:01:09,Tigst Assefa,Ethiopia,2:15:37
2023,Eliud Kipchoge,Kenya,2:02:42,Tigst Assefa,Ethiopia,2:11:53
2024,Milkesa Mengesha,Ethiopia,2:03:17,Tigist Ketema,Ethiopia,2:16:42
